Library ,Operator,Address Line 1,Address Line 2,Address Line 3,Postcode,VPostcode,Latitude,Longitude,Ward,ONS Ref,Telephone,Email,Monday opening hours,Tuesday opening hours,Wednesday opening hours,Thursday opening hours,Friday  opening hours,Saturday opening hours,Sunday opening hours,Assistive Technology,"Adult books for loan, fiction and non-fiction",Baby changing facility,Boardmaker,Book tokens for sale,Cafe,Car parking,"Children's books for loan, fiction and non-fiction","Children's holiday activities, check locally",Community Information,CDs - Music,Computers,Council Papers - online,Councillor surgery,Credit card payments,Disabled access,Drinks machine,Electoral Registers- local,Electronic magnifier,Employment & training advice,"Events, check locally",Exhibition space,Fax,Free Internet Access,Homework Collection,Learning Sessions eg learn how to use a computer,LeedsCard Registration,Local & Family History,Local bus timetables,Local publications for sale,Meeting room for hire,Microsoft Office Facilities,MP surgery,Newspapers,Photocopier -B & W,Planning Applications (online),Printing,Readers’ Group,Request Service,Scanner,Self-service facility,Story tapes for children,Story time,Study space,Sunday opening,Talking books,Theatre bookings,Toilet,Tourist Information,Free WIFI,Writers’ Group
Crossgates,Leeds City Council,Farm Road,Cross Gates,Leeds,LS15 7LB,LS157LB,53.80686544,-1.454197057,Killingbeck and Seacroft,http://statistics.data.gov.uk/id/statistical-geography/E05001430,0113 378 5729,enquiry.express@leeds.gov.uk,10:00 - 17:00,10:00 - 17:00,09:00 - 19:00,09:00 - 19:00,10:00 - 17:00,10:00 - 15:00,Closed,1,1,1,1,1,,,1,1,1,,1,1,1,,1,,,,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,
Dewsbury Road,Leeds City Council,190 Dewsbury Road,Hunslet,Leeds,LS11 6PF,LS116PF,53.778907,-1.545594927,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,0113 378 5747,enquiry.express@leeds.gov.uk,09:00 - 18:00,09:00 - 17:00,10:00 - 17:00,09:00 - 17:00,09:00 - 17:00,10:00 - 13:00,Closed,1,1,,1,,,,1,1,1,,1,1,,,1,,,,,1,,1,1,1,1,1,,,,,1,,1,,1,1,,1,,,1,1,,,1,,,,1,
Farsley,Leeds City Council,Old Road,Farsley,Leeds,LS28 5DH,LS285DH,53.81066104,-1.672271347,Calverley and Farsley,http://statistics.data.gov.uk/id/statistical-geography/E05001418,0113 378 1861,enquiry.express@leeds.gov.uk,10:00 - 18:00,Closed,10:00 - 18:00,Closed,10:00 - 17:00,10:00 - 13:00,Closed,1,1,1,,1,,1,1,1,1,,1,1,1,,1,,,,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,,1,,1,
Garforth,Leeds City Council,Lidgett Lane,Garforth ,Leeds,LS25 1EH,LS251EH,53.79121402,-1.388323516,Garforth and Swillington,http://statistics.data.gov.uk/id/statistical-geography/E05001423,0113 336 8950,enquiry.express@leeds.gov.uk,09:00 - 19:00,09:00 - 17:00,09:00 - 19:00,09:00 - 18:00,09:00 - 17:00,09:00 - 16:00,Closed,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,
Gildersome,Leeds City Council,Town Street,Gildersome,Leeds,LS27 7AB,LS277AB,53.75832577,-1.629693748,Morley North,http://statistics.data.gov.uk/id/statistical-geography/E05001435,0113 37 83125,enquiry.express@leeds.gov.uk,14:00 - 17:00,Closed,14:00 - 17:00,Closed,14:00 - 17:00,10:00 - 12:00,Closed,1,1,,,1,,,1,1,1,,1,1,,,1,,,,,1,,1,1,1,1,,1,1,,1,1,,,,1,1,,1,1,,1,1,,,1,,1,,1,
Guiseley,Leeds City Council,Otley Road,Guiseley,Leeds,LS20 8AH,LS208AH,53.87335257,-1.711066979,Guiseley and Rawdon,http://statistics.data.gov.uk/id/statistical-geography/E05001425,0194 387 2675,enquiry.express@leeds.gov.uk,09:00 - 17:00,09:00 - 19:00,Closed,09:00 - 17:00,09:00 - 17:00,10:00 - 13:00,Closed,1,1,,1,,,,1,1,1,,1,1,,,1,,1,1,1,1,,1,1,1,1,1,1,1,,,1,,1,1,1,1,,1,,1,1,1,1,,1,1,,,1,
Halton,Leeds City Council,273 Seby Road,Halton ,Leeds,LS15 7JR,LS157JR,53.79632211,-1.470168068,Temple Newsam,http://statistics.data.gov.uk/id/statistical-geography/E05001441,0113 378 1865,enquiry.express@leeds.gov.uk,12:00 - 17:00,10:00 - 17:00,12:00 - 17:00,10:00 - 19:00,10:00 - 17:00,10:00 - 15:00,12:00 - 15:00,1,1,,1,1,,1,1,1,1,,1,1,1,,1,,,,,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,,,,1,
Headingley,Leeds City Council,North Lane,Headingley,Leeds,LS6 3HG,LS063HG,53.82088648,-1.579106383,Headingley,http://statistics.data.gov.uk/id/statistical-geography/E05001427,0113 378 1868,enquiry.express@leeds.gov.uk,09:00 - 17:30,09:00 - 19:00,09:30 - 17:30,09:00 - 19:00,09:00 - 17:30,09:00 - 17:30,11:00 - 15:00,1,1,,1,1,,,1,1,1,,1,1,,,1,,1,,,1,,1,1,,1,1,1,1,,,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,
Holt Park,Leeds City Council,Ralph Thoresby High School,Holtdale Approach,Leeds,LS16 7RX,LS167RX,53.85667483,-1.607800746,Adel and Wharfedale,http://statistics.data.gov.uk/id/statistical-geography/E05001411,0113 336 8188,enquiry.express@leeds.gov.uk,09:00 - 17:00,09:00 - 17:00,09:00 - 19:00,09:00 - 17:00,09:00 - 17:00,10:00 - 16:00,Closed,1,1,,1,1,,,1,1,1,,1,1,,,1,,,,,1,,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,,1,1
Horsforth,Leeds City Council,Town Street,Horsforth,Leeds,LS18 5BL,LS185BL,53.8406148,-1.636825593,Horsforth,http://statistics.data.gov.uk/id/statistical-geography/E05001428,0113 378 1872,enquiry.express@leeds.gov.uk,08:30 - 19:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,10:00 - 17:00,10:00 - 16:00,11:00 - 14:00,1,1,1,1,1,,1,1,1,1,,1,1,1,,1,,1,,,1,,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,
Hunslet,Leeds City Council,Waterloo Road,Hunslet,Leeds,LS10 2NS,LS102NS,53.77958359,-1.527620087,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,0113 378 1875,enquiry.express@leeds.gov.uk,"10:00 - 13:00, 14:00 - 17:00","10:00 - 13:00, 14:00 - 17:00",10:00 - 13:00,"10:00 - 13:00, 14:00 - 17:00",Closed,10:00 - 13:00,Closed,1,1,,,,,1,1,1,1,,1,1,,,1,,,,,1,,1,1,1,1,,,,,,1,,1,,1,1,,1,1,,1,1,,1,1,1,,,1,
Kippax,Leeds City Council,Westfield Lane,Kippax,Leeds,LS25 7LY,LS257LY,53.76825268,-1.373303817,Kippax and Methley,http://statistics.data.gov.uk/id/statistical-geography/E05001431,0113 378 1878,enquiry.express@leeds.gov.uk,10:00 - 19:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,10:00 - 13:00,Closed,1,1,,,1,,1,1,1,1,,1,1,,,1,,,,,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,,1,1,,,1,,,,1,
Middleton,Leeds City Council,Saint Georges Centre,St Georges Road,Leeds,LS10 4UZ,LS104UZ,53.74785513,-1.532085267,Middleton Park,http://statistics.data.gov.uk/id/statistical-geography/E05001433,0113 378 5347,enquiry.express@leeds.gov.uk,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,10:00 - 14:00,Closed,1,1,1,1,,,,1,1,1,,1,1,,,1,1,,,,1,,1,1,1,1,1,,,,,1,,1,1,1,1,,1,,,1,1,,,1,1,,,1,
Moor Allerton,Leeds City Council,Moor Allerton Centre,Moor Allerton,Leeds,LS17 5NY,LS175NY,53.84619938,-1.550125913,Alwoodley,http://statistics.data.gov.uk/id/statistical-geography/E05001412,0113 378 1881,enquiry.express@leeds.gov.uk,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 17:00,09:00 - 17:00,10:00 - 16:00,10:00 - 16:00,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,,1,
Morley,Leeds City Council,Commercial Street,Morley,Leeds,LS27 8HZ,LS278HZ,53.74662216,-1.601304643,Morley South,http://statistics.data.gov.uk/id/statistical-geography/E05001436,0113 378 1887,enquiry.express@leeds.gov.uk,10:00 - 18:00,09:00 - 17:00,09:00 - 18:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,Closed,1,1,,1,1,,1,1,1,1,,1,1,,,1,,1,,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,
Oakwood,Leeds City Council,1 Oakwood Lane,Oakwood,Leeds,LS8 2PZ,LS082PZ,53.82668701,-1.502433521,Roundhay,http://statistics.data.gov.uk/id/statistical-geography/E05001440,0113 378 1890,enquiry.express@leeds.gov.uk,10:00 - 19:00,12:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 15:00,Closed,1,1,,1,1,,,1,1,1,,1,1,,,1,,,,,1,,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,
Otley,Leeds City Council,Nelson Street,Otley,Leeds,LS21 1EZ,LS211EZ,53.90521938,-1.691334392,Otley and Yeadon,http://statistics.data.gov.uk/id/statistical-geography/E05001437,0194 346 6572,enquiry.express@leeds.gov.uk,09:00 - 18:00,09:00 - 17:00,09:00 - 17:00,09:00 - 19:00,09:00 - 17:00,09:00 - 16:00,11:00 - 14:00,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,
Pudsey,Leeds City Council,Church Lane,Pudsey,Leeds,LS28 7TY,LS287TY,53.79578074,-1.663901059,Pudsey,http://statistics.data.gov.uk/id/statistical-geography/E05001438,0113 378 1893,enquiry.express@leeds.gov.uk,08:30 - 17:00,08:30 - 18:00,08:30 - 17:00,08:30 - 18:00,08:30 - 17:00,09:00 - 16:00,Closed,1,1,,1,1,,,1,1,1,,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,,1,1,,,1,1
Rothwell,Leeds City Council,Marsh Street,Rothwell,Leeds,LS26 0AE,LS260AE,53.74704334,-1.479067261,Rothwell,http://statistics.data.gov.uk/id/statistical-geography/E05001439,0113 378 5622,enquiry.express@leeds.gov.uk,09:00 - 19:00,09:00 - 17:00,10:00 - 19:00,09:00 - 17:00,09:00 - 17:00,10:00 - 15:00,11:00 - 14:00,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,
Scholes,Leeds City Council,3 Station Road,Scholes,Leeds,LS15 4BJ,LS154BJ,53.82501446,-1.429532952,Harewood,http://statistics.data.gov.uk/id/statistical-geography/E05001426,0113 378 3121,enquiry.express@leeds.gov.uk,14:00 - 17:00,Closed,Closed,Closed,14:00 - 17:00,10:00 - 12:00,Closed,1,1,,,1,,1,1,1,1,,1,1,,,1,,,,,1,,1,1,1,1,,,1,,,1,,,,1,1,1,1,,,1,,,,1,,,,1,
Seacroft,Leeds City Council,1 Seacroft Avenue,Seacroft,Leeds,LS14 6JD,LS146JD,53.82221046,-1.460696862,Killingbeck and Seacroft,http://statistics.data.gov.uk/id/statistical-geography/E05001430,0113 378 1902,enquiry.express@leeds.gov.uk,09:00 - 17:30,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 14:30,Closed,1,1,1,1,1,,,1,1,1,,1,1,1,,1,1,,,,1,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,
Wetherby,Leeds City Council,17 Westgate,Wetherby,Leeds,LS22 6LL,LS226LL,53.92904988,-1.387468171,Wetherby,http://statistics.data.gov.uk/id/statistical-geography/E05001443,0193 758 3144,enquiry.express@leeds.gov.uk,10:00 - 17:00,09:00 - 19:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,10:00 - 16:00,Closed,1,1,,1,1,,,1,1,1,,1,1,,,1,,1,,,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,
Whinmoor,Leeds City Council,Naburn Approach,Whinmoor,Leeds,LS14 2DF,LS142DF,53.83344793,-1.455264788,Cross Gates and Whinmoor,http://statistics.data.gov.uk/id/statistical-geography/E05001421,0113 378 3129,enquiry.express@leeds.gov.uk,Closed,13:00 - 16:00,Closed,10:00 - 12:00,13:00 - 16:00,10:00 - 12:00,Closed,1,1,,,1,,,1,1,1,,1,1,,,1,,,,,1,,1,1,,1,,,,,,1,,,,1,1,1,1,,,1,1,,,1,,1,,1,
Yeadon,Leeds City Council,Town Hall Square,Yeadon,Leeds,LS19 7PP,LS197PP,53.86602115,-1.683593757,Otley and Yeadon,http://statistics.data.gov.uk/id/statistical-geography/E05001437,0113 378 1909,enquiry.express@leeds.gov.uk,10:00 - 17:00,08:30 - 17:00,08:30 - 19:00,08:30 - 17:00,08:30 - 17:00,09:00 - 13:00,Closed,1,1,,1,1,,1,1,1,1,,1,1,,,,,1,,,1,,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,,,1,1,1,,,,1,,1,
